year,reef,in/out,position,core,top/bot,total mass,sample mass,hydro 40sec,temp 40sec,hydro 2hr,temp 2hr,cor. 40sec,temp.cor. 40sec,cor. 2hr,temp.cor. 2hr,sand,silt,clay,grain,percent
1,2,OUT,27,2,Top,39.74,39.74,18.5,20.3,12.0,21.3,16.500,16.608,10.000,10.468,58.2086,15.4512,26.3402,sand,58.2086
1,2,OUT,27,3,Top,31.11,31.11,20.5,20.3,13.0,21.3,18.500,18.608,11.000,11.468,40.1867,22.9518,36.8615,sand,40.1867
1,2,OUT,27,4,Top,38.90,38.90,22.5,20.5,13.0,21.4,20.500,20.680,11.000,11.504,46.8384,23.5894,29.5722,sand,46.8384
1,2,OUT,27,5,Top,30.37,30.37,20.0,20.4,12.5,21.4,18.000,18.144,10.500,11.004,40.2572,23.5110,36.2317,sand,40.2572
1,2,OUT,27,1,Bot,114.40,50.06,36.5,20.5,21.0,21.5,34.500,34.680,19.000,19.540,30.7234,30.2443,39.0323,sand,30.7234
1,2,OUT,27,2,Bot,98.50,50.56,22.5,20.5,14.0,21.5,20.500,20.680,12.000,12.540,59.0984,16.1003,24.8013,sand,59.0984
1,2,OUT,27,3,Bot,117.80,50.26,33.0,20.6,19.0,21.5,31.000,31.216,17.000,17.540,37.8913,27.2110,34.8976,sand,37.8913
1,2,OUT,27,4,Bot,116.80,50.27,32.5,20.6,18.0,21.5,30.500,30.716,16.000,16.540,38.8983,28.2003,32.9014,sand,38.8983
1,2,OUT,27,5,Bot,125.70,50.26,35.0,20.6,20.0,21.6,33.000,33.216,18.000,18.576,33.9120,29.1291,36.9589,sand,33.9120
1,3,IN,0,1,Top,48.45,48.45,30.5,11.6,16.0,13.8,26.500,23.479,12.000,9.770,51.5407,28.2944,20.1648,sand,51.5407
1,3,IN,0,2,Top,40.80,40.80,26.5,11.7,15.5,13.8,22.500,19.514,11.500,9.270,52.1704,25.1094,22.7202,sand,52.1704
1,3,IN,0,3,Top,47.19,47.19,27.5,11.8,16.0,13.9,23.500,20.550,12.000,9.806,56.4517,22.7689,20.7795,sand,56.4517
1,3,IN,0,4,Top,50.44,50.44,25.0,11.2,14.0,13.6,21.000,17.835,10.000,7.698,64.6419,20.0966,15.2615,sand,64.6419
1,3,IN,0,5,Top,37.10,37.10,25.0,11.1,14.0,13.8,21.000,17.799,10.000,7.770,52.0251,27.0318,20.9430,sand,52.0251
1,3,IN,0,1,Bot,128.60,50.25,34.0,11.3,20.0,13.8,30.000,26.871,16.000,13.770,46.5261,26.0711,27.4027,sand,46.5261
1,3,IN,0,2,Bot,118.50,50.65,36.5,11.3,19.5,13.7,32.500,29.371,15.500,13.234,42.0126,31.8593,26.1281,sand,42.0126
1,3,IN,0,3,Bot,118.00,50.06,32.5,11.1,19.0,13.8,28.500,25.299,15.000,12.770,49.4633,25.0276,25.5091,sand,49.4633
1,3,IN,0,4,Bot,142.10,50.04,21.0,11.1,13.0,13.7,17.000,13.799,9.000,6.734,72.4247,14.1183,13.4570,sand,72.4247
1,3,IN,0,5,Bot,124.00,50.12,31.5,11.1,17.0,13.6,27.500,24.299,13.000,10.698,51.5190,27.1364,21.3446,sand,51.5190
1,3,IN,12,1,Top,40.31,40.31,28.5,11.1,16.0,13.6,24.500,21.299,12.000,9.698,47.1628,28.7788,24.0583,sand,47.1628
